User_ID,Cust_name,Product_ID,Gender,Age_Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1002903,COUNTRY CLUB INVESTORS,P00125942,F,26-35,28,0,Mashonaland,Western,Healthcare,Auto,1,23952,NULL,NULL
1000732,BROWN,P00110942,F,26-35,35,1,Mutare,Southern,Govt,Auto,3,23934,NULL,NULL
1001990,EDGIN,P00118542,F,26-35,35,1,MatebeleLand North,Central,Automobile,Auto,3,23924,NULL,NULL
1001425,LING,P00237842,M,0-17,16,0,MatebeleLand East,Southern,Construction,Auto,2,23912,NULL,NULL
1000588,PATTON,P00057942,M,26-35,28,1,Midlands North,Western,Food Processing,Auto,2,23877,NULL,NULL
1000588,PATTON,P00057942,M,26-35,28,1,Harare,Northern,Food Processing,Auto,1,23877,NULL,NULL
1001132,DAWSON,P00018042,F,18-25,25,1,MatebeleLand North,Central,Lawyer,Auto,4,23841,NULL,NULL
1002092,VERBECK,P00273442,F,55+,61,0,Mashonaland,Western,IT Sector,Auto,1,NULL,NULL,NULL
1003224,MENJIVAR,P00205642,M,26-35,35,0,MatebeleLand North,Central,Govt,Auto,2,23809,NULL,NULL
1003650,SMITH,P00031142,F,26-35,26,1,Mutare,Southern,Media,Auto,4,23799.99023,NULL,NULL
1003829,REEVES,P00200842,M,26-35,34,0,Vungu,Central,Banking,Auto,1,23770,NULL,NULL
1000214,HATAWAY,P00119142,F,18-25,20,0,Mutare,Southern,Retail,Auto,2,23752,NULL,NULL
1004035,CARNEY,P00080342,F,18-25,20,1,Mutare,Southern,IT Sector,Auto,2,23730,NULL,NULL
1001680,DURAI,P00324942,M,26-35,26,1,Mutare,Southern,Automobile,Auto,4,23718,NULL,NULL
1003858,SMITH,P00293742,M,46-50,46,1,MatebeleLand South,Central,Hospitality,Auto,3,NULL,NULL,NULL
1000813,QUINTANILLA,P00289942,F,18-25,24,0,Mutare,Southern,Govt,Auto,2,23664,NULL,NULL
1005447,MINGRONE,P00275642,F,46-50,48,1,Mutare,Southern,IT Sector,Auto,3,NULL,NULL,NULL
1001193,BRAY,P00004842,F,26-35,29,0,Mutare,Southern,Aviation,Auto,1,23619,NULL,NULL
1001883,HAMILTON,P00029842,M,51-55,54,1,MatebeleLand North,Central,Hospitality,Auto,1,23568,NULL,NULL
1001883,HAMILTON,P00029842,M,51-55,54,1,MatebeleLand North,Central,Hospitality,Auto,1,23568,NULL,NULL
1000113,WAHL,P00180642,F,18-25,19,1,Mutare,Southern,Govt,Auto,4,23546,NULL,NULL
1000416,JRG PROPERTIES,P00181842,F,46-50,46,1,MatebeleLand North,Central,Banking,Auto,2,23525,NULL,NULL
1005256,CHAMBERLIN,P00101742,F,26-35,30,0,Mutare,Southern,IT Sector,Auto,1,23518,NULL,NULL
1001505,259 MAPLE STREET TRUST,P00271842,F,51-55,53,0,MatebeleLand North,Central,Automobile,Auto,2,23515,NULL,NULL
1000900,CIPRIANO,P00317842,M,55+,83,0,MatebeleLand East,Southern,Automobile,Auto,3,23513,NULL,NULL
1005908,PROSPERITAS PARTNERS,P00282642,F,26-35,33,0,Mutare,Southern,IT Sector,Auto,3,23462,NULL,NULL
1001101,MCDONALD,P00234742,F,36-45,40,0,MatebeleLand North,Central,Banking,Auto,3,23456,NULL,NULL
1004736,MACHUREK,P00058042,F,18-25,25,1,Mutare,Southern,Banking,Auto,4,23451,NULL,NULL
1004037,BUSH,P00190542,M,51-55,54,1,Mutare,Southern,Govt,Hand & Power Tools,2,23434,NULL,NULL
1002340,WADE,P00119642,F,36-45,39,1,Mutare,Southern,Aviation,Auto,3,23389,NULL,NULL
1005664,SIMON,P00111642,F,18-25,20,0,Mutare,Southern,Aviation,Auto,2,23365,NULL,NULL
1002523,KILGORE,P00293342,F,26-35,32,1,Mutare,Southern,Food Processing,Auto,3,23326,NULL,NULL
1002503,LOWERY,P00220042,F,36-45,36,0,Mutare,Southern,Automobile,Auto,2,23314,NULL,NULL
1002638,DUVALL,P00346242,F,26-35,35,1,Mashonaland,Western,Media,Auto,2,23306,NULL,NULL
1004505,PITTS,P00080042,F,51-55,55,1,Mutare,Southern,Healthcare,Auto,4,23302,NULL,NULL
1004957,SMITH,P00111842,M,26-35,27,1,Midlands South,Eastern,Govt,Auto,1,23285,NULL,NULL
1005649,FED DEVELOPMENT,P00238542,M,18-25,20,1,Vungu,Central,Media,Auto,1,23281,NULL,NULL
1004508,SCOTT,P00048742,F,26-35,32,0,Mutare,Southern,Aviation,Auto,1,23270,NULL,NULL
1002520,COPELAND,P00310342,M,55+,72,1,Harare,Northern,Media,Auto,4,23267,NULL,NULL
1003111,SIMON,P00249542,F,18-25,25,1,Mutare,Southern,Banking,Auto,4,23252,NULL,NULL
1000687,J.E.T. PRODUCTIONS,P00156442,M,26-35,35,0,Mashonaland West,Southern,Aviation,Auto,1,23247,NULL,NULL
1003267,HINST,P00144242,M,26-35,30,1,MatebeleLand North,Central,Banking,Hand & Power Tools,2,23246,NULL,NULL
1001182,CHEN,P00122442,M,0-17,16,0,Mutare,Southern,Food Processing,Auto,4,23239,NULL,NULL
1005383,BUCKLEY,P0096942,F,36-45,40,0,Mutare,Southern,Aviation,Auto,2,23201,NULL,NULL
1004303,OLSON,P00201442,F,26-35,35,1,Mutare,Southern,Aviation,Auto,2,23185,NULL,NULL
1005493,MEHR,P00036242,M,36-45,45,1,Mutare,Southern,Agriculture,Hand & Power Tools,3,23160,NULL,NULL
1000728,MARQUEZ,P00113942,F,26-35,28,0,Mutare,Southern,Banking,Auto,1,23154,NULL,NULL
1002966,ENGLAND,P00121642,M,26-35,32,1,Vungu,Central,Construction,Auto,3,23103,NULL,NULL
1001726,LIN,P00105042,F,26-35,32,0,Mutare,Southern,Retail,Auto,4,23066,NULL,NULL
1001404,JACKSON,P00141842,F,51-55,53,0,Mutare,Southern,IT Sector,Auto,2,23053,NULL,NULL
1005267,DILICK,P00115342,F,36-45,43,1,Mutare,Southern,IT Sector,Auto,3,23047,NULL,NULL
1003745,GOODSON,P00220042,M,26-35,29,0,Midlands Central,Northern,IT Sector,Stationery,2,21563,NULL,NULL
1001884,HUNT,P00339042,F,46-50,47,0,Vungu,Central,Textile,Stationery,1,21547,NULL,NULL
1001804,LEWCHALERMWONG,P00000642,F,26-35,35,0,Vungu,Central,Lawyer,Stationery,1,21533,NULL,NULL
1005359,RHODES,P00302742,F,18-25,22,1,Vungu,Central,Media,Stationery,1,21503,NULL,NULL
1000151,HILLS HOLLOW TRUST,P00150342,M,26-35,34,1,MatebeleLand East,Southern,IT Sector,Stationery,2,21495,NULL,NULL
1001389,REEVES,P00261542,F,26-35,33,1,Vungu,Central,Agriculture,Stationery,3,21463,NULL,NULL
1002665,MIDDLEBROOKS,P00261842,F,36-45,36,0,Vungu,Central,IT Sector,Stationery,4,21427,NULL,NULL
1002496,LONG,P00114042,F,51-55,52,0,Vungu,Central,IT Sector,Stationery,4,21423,NULL,NULL
1001442,GREEN,P00145042,M,18-25,18,1,Vungu,Central,Construction,Stationery,2,21401,NULL,NULL
1000379,TORRES,P00121642,M,36-45,39,0,Mashonaland,Western,Healthcare,Stationery,3,21397,NULL,NULL
1003916,GARCIA,P00003242,M,26-35,34,1,Vungu,Central,Agriculture,Stationery,4,21388,NULL,NULL
1001687,ALLISON,P00265242,F,26-35,33,0,Mashonaland,Western,Govt,Stationery,4,21325,NULL,NULL
1000423,SPICER,P00046742,M,18-25,21,0,Vungu,Central,Automobile,Stationery,2,21320,NULL,NULL
1002395,LOPEZ,P00220342,F,36-45,38,1,Vungu,Central,Aviation,Stationery,2,21317,NULL,NULL
1004728,SOTO,P00037042,F,26-35,28,0,Vungu,Central,IT Sector,Stationery,4,21293,NULL,NULL
1005054,INMAN,P0096542,F,36-45,37,0,Vungu,Central,Hospitality,Stationery,1,21266,NULL,NULL
1004489,HOWARD,P00216742,M,18-25,20,0,Vungu,Central,Construction,Stationery,1,21259,NULL,NULL
1001865,HAMPTON,P00213742,M,18-25,23,1,Mashonaland West,Southern,Media,Stationery,2,21246,NULL,NULL
1003022,INMAN,P00130742,F,26-35,34,0,Vungu,Central,Banking,Stationery,4,21218,NULL,NULL
